ephemeris,julian_date,target,center,x,y,z,vx,vy,vz
de405,2415140.0000000000000000,1,0,2.7490553131737918e+07,-5.1228344323294632e+07,-3.0286312274789739e+07,2.9919923626667522e+06,1.8336639830366320e+06,6.6786829640376940e+05
de405,2415141.0000000000000000,1,0,3.0434374381534383e+07,-4.9306481480414748e+07,-2.9566336581914511e+07,2.8935578510660930e+06,2.0096851501296097e+06,7.7209960935697146e+05
de405,2415142.0000000000000000,1,0,3.3273415822588697e+07,-4.7209813014135428e+07,-2.8742118760884274e+07,2.7823636376422965e+06,2.1831872389822355e+06,8.7631275333097333e+05
de405,2415143.0000000000000000,1,0,3.5994707290143915e+07,-4.4941132928407341e+07,-2.7813801901140645e+07,2.6579857989774905e+06,2.3536091539261146e+06,9.8025219479577104e+05
de405,2415144.0000000000000000,1,0,3.8584846489933252e+07,-4.2503831549285650e+07,-2.6781802582893979e+07,2.5199848370187427e+06,2.5203178273424464e+06,1.0836255874621258e+06
de405,2415145.0000000000000000,1,0,4.1029986209573492e+07,-3.9901972179807946e+07,-2.5646850480278619e+07,2.3679115373022854e+06,2.6825987292830809e+06,1.1860980952333636e+06
de405,2415146.0000000000000000,1,0,4.3315828314203486e+07,-3.7140377610270105e+07,-2.4410033932779603e+07,2.2013147491832566e+06,2.8396456575622433e+06,1.2872861310461699e+06
de405,2415147.0000000000000000,1,0,4.5427626670805737e+07,-3.4224727160977721e+07,-2.3072852069505576e+07,2.0197515456680269e+06,2.9905499049590626e+06,1.3867505156157431e+06
de405,2415148.0000000000000000,1,0,4.7350201642217174e+07,-3.1161664798301905e+07,-2.1637274049769875e+07,1.8228002990229086e+06,3.1342889840234518e+06,1.4839890967053373e+06
de405,2415149.0000000000000000,1,0,4.9067969368033797e+07,-2.7958918629625119e+07,-2.0105805917747453e+07,1.6100772880600935e+06,3.2697152053861283e+06,1.5784289228758700e+06
de405,2415150.0000000000000000,1,0,5.0564989703122348e+07,-2.4625431712996382e+07,-1.8481565439487405e+07,1.3812575262898582e+06,3.3955445605230965e+06,1.6694181408447193e+06
de405,2415151.0000000000000000,1,0,5.1825037403161287e+07,-2.1171503569107953e+07,-1.6768365072567133e+07,1.1361005547233620e+06,3.5103465631759437e+06,1.7562178884395836e+06
de405,2415152.0000000000000000,1,0,5.2831701903141342e+07,-1.7608941004269868e+07,-1.4970802881404361e+07,8.7448196037389722e+05,3.6125359630195503e+06,1.8379945918504910e+06
de405,2415153.0000000000000000,1,0,5.3568521779030912e+07,-1.3951215784258112e+07,-1.3094360717915136e+07,5.9643133448988257e+05,3.7003675660292539e+06,1.9138132521097653e+06
de405,2415154.0000000000000000,1,0,5.4019160632950932e+07,-1.0213625278382748e+07,-1.1145508296267327e+07,3.0217723620242346e+05,3.7719357777843401e+06,1.9826325250285603e+06
de405,2415155.0000000000000000,1,0,5.4167631573696330e+07,-6.4134503644574061e+06,-9.1318108588594664e+06,-7.8005706400971540e+03,3.8251809173111022e+06,2.0433026601476946e+06
de405,2415156.0000000000000000,1,0,5.3998577499194711e+07,-2.5701026116844974e+06,-7.0620369201470474e+06,-3.3271184570439131e+05,3.8579048009359646e+06,2.0945676581809446e+06
de405,2415157.0000000000000000,1,0,5.3497613785344422e+07,1.2947499555433732e+06,-4.9462610630504433e+06,-6.7139058229234943e+05,3.8677985124861100e+06,2.1350733100034073e+06
de405,2415158.0000000000000000,1,0,5.2651738443160966e+07,5.1570922868525889e+06,-2.7959549592006947e+06,-1.0222258270430856e+06,3.8524855663586133e+06,2.1633830507237180e+06
de405,2415159.0000000000000000,1,0,5.1449811970006779e+07,8.9905239511798956e+06,-6.2405775430036709e+05,-1.3830922158523372e+06,3.8095836976656541e+06,2.1780037309722463e+06
de405,2415160.0000000000000000,1,0,4.9883104626038603e+07,1.2766293092830289e+07,1.5549851477828966e+06,-1.7512856609920510e+06,3.7367880971480315e+06,2.1774233752680374e+06
de405,2415161.0000000000000000,1,0,4.7945902411753275e+07,1.6453425136848064e+07,3.7252277915208768e+06,-2.1234716877729734e+06,3.6319778322394830e+06,2.1601626371735008e+06
de405,2415162.0000000000000000,1,0,4.5636154486249506e+07,2.0018969529174749e+07,5.8692880961771607e+06,-2.4956559608490313e+06,3.4933452455744483e+06,2.1248408319526855e+06
de405,2415163.0000000000000000,1,0,4.2956134372345336e+07,2.3428386191224158e+07,7.9684854549629707e+06,-2.8631881243163380e+06,3.3195451532046054e+06,2.0702560067496572e+06
de405,2415164.0000000000000000,1,0,3.9913075796586841e+07,2.6646088284293059e+07,1.0003064440513708e+07,-3.2208105894486564e+06,3.1098567017577430e+06,1.9954764450794004e+06
de405,2415165.0000000000000000,1,0,3.6519732844390191e+07,2.9636148451205976e+07,1.1952513677249683e+07,-3.5627626098992289e+06,2.8643461019793348e+06,1.8999383891619744e+06
de405,2415166.0000000000000000,1,0,3.2794805426743124e+07,3.2363161569524642e+07,1.3795982297335749e+07,-3.8829462167716930e+06,2.5840138403987354e+06,1.7835419070697569e+06
de405,2415167.0000000000000000,1,0,2.8763167537621398e+07,3.4793238761304051e+07,1.5512786996363388e+07,-4.1751540097622229e+06,2.2709064865849004e+06,1.6467342871572685e+06
